,Rooms,Price,Distance,Postcode,Bathroom,Car,Landsize,Propertycount,Distancia_NEW,Longtitude,Lattitude,Location_TRA,BathsAndRooms
0,2,1480000,2.5,3067,1,1,202,4019,5.74437985816925,144.9984,-37.7996,3.83597710028678,3.96328017314039
1,2,1035000,2.5,3067,1,0,156,4019,5.29842457362017,144.9934,-37.8079,3.83500273752311,3.95130334342611
2,3,1465000,2.5,3067,2,0,134,4019,5.12521635567525,144.9944,-37.8093,3.83488718384101,4.1428066535623
3,3,1465000,2.5,3067,2,0,134,4019,9.82745803362199,144.9634,-37.7745,3.83759943877483,8.28112908010192
4,3,1465000,2.5,3067,2,0,134,4019,5.08592634598159,145.0916,-37.8509,3.83324042493045,7.04510923725933
5,3,1465000,2.5,3067,2,0,134,4019,19.298740023071,144.8329,-37.7749,3.83410412734382,6.38585337822612
6,3,1465000,2.5,3067,2,0,134,4019,7.02261953569721,145.1116,-37.8255,3.83634320762449,6.89302331316341
7,3,1465000,2.5,3067,2,0,134,4019,8.4956435990049,145.0559,-37.91725,3.82559125464004,7.6238576400873
8,3,850000,2.5,3067,2,1,94,4019,6.06709378226688,144.9969,-37.7969,3.83621143532935,3.92845924136152
9,4,1600000,2.5,3067,1,2,120,4019,5.31338290408924,144.9941,-37.8072,3.83509225755941,5.28127976084917
10,2,941000,2.5,3067,1,0,181,4019,5.50511328332598,144.9953,-37.8041,3.83543848418558,4.04986047693935
11,3,1876000,2.5,3067,2,0,245,4019,5.4432425943222,144.9993,-37.8024,3.83571677988699,6.79479207106813
12,2,1636000,2.5,3067,1,2,256,4019,5.33748718718516,144.9954,-37.806,3.83524837327408,5.63760552543483
13,3,1000000,2.5,3067,2,1,1239,4019,5.13630266081749,144.995928,-37.808343,3.83504487595518,8.19927736420382
14,2,745000,2.5,3067,2,1,629.1,4019,4.99383164422402,144.99711,-37.808225,3.83504860547936,4.12463636151146
15,1,300000,2.5,3067,1,1,0,4019,5.68990783962675,144.9973,-37.8008,3.83582622589998,2.64863745468133
16,2,1097000,2.5,3067,1,2,220,4019,5.59105013682418,144.9989,-37.801,3.83584825798259,4.01341343377139
17,2,542000,2.5,3067,1,1,443.9,4019,4.71501556896104,145.000598,-37.809055,3.83505738490085,3.93515851502367
18,2,760000,2.5,3067,1,1,783.9,4019,5.04768330045803,144.99708,-37.808165,3.83507347053207,6.32699108000358
19,1,481000,2.5,3067,1,1,0,4019,5.11699853928264,144.9965,-37.808392,3.83504511769372,7.09163926733488
20,2,700000,2.5,3067,2,1,0,4019,4.28757815788282,145.0067,-37.811,3.83504006770517,5.63760552543483
21,3,1350000,2.5,3067,2,2,214,4019,5.07055622792678,144.9964,-37.8085,3.83502122538583,8.37037938016761
22,2,750000,2.5,3067,2,1,0,4019,5.1229614389988,144.9965,-37.8078,3.83509487460259,4.27799468521577
23,1,500000,2.5,3067,1,1,0,4019,5.12539707035411,144.99631,-37.80786,3.83509902244496,2.68958930751117
24,2,1172500,2.5,3067,1,1,195,4019,5.0264705607744,144.9973,-37.8084,3.83505517292454,4.3141309980175
25,1,441000,2.5,3067,1,1,0,4019,5.54125266574439,144.9988,-37.8016,3.83578472868873,7.12293805666067
26,2,1310000,2.5,3067,1,2,238,4019,4.95894368120854,144.9976,-37.809,3.83500224814198,6.74620061525067
27,3,1200000,2.5,3067,2,1,113,4019,5.51008016862618,144.993,-37.8056,3.83522546924265,5.33797968282735
28,2,847000,2.5,3067,1,0,271.8,4019,5.13041912094455,144.995898,-37.808074,3.83507172359052,5.3721914745606
29,3,1176500,2.5,3067,1,1,138,4019,5.61496658168696,144.9965,-37.8021,3.83567315043344,4.04851769152646
30,3,955000,2.5,3067,1,0,183,4019,5.55360643033675,144.9975,-37.8022,3.83568945722736,8.34079647424079
31,2,890000,2.5,3067,1,1,150,4019,5.50822855959991,145.0004,-37.8011,3.83587779191611,7.24754851025999
32,4,1330000,2.5,3067,2,2,780,4019,5.24029530781371,144.9952,-37.8073,3.83511120868192,7.12293805666067
33,3,900000,2.5,3067,2,2,0,4019,5.03451372725507,144.9959,-37.8093,3.83492685661993,7.04700690679354
34,3,1090000,2.5,3067,2,2,4290,4019,5.1229614389988,144.9965,-37.8078,3.83509487460259,3.99648817005853
35,2,500000,2.5,3067,1,1,0,4019,5.63195332253594,144.9972,-37.8015,3.835752549502,5.69059485351118
36,2,1100000,2.5,3067,2,1,124,4019,5.04561620116193,144.9977,-37.8079,3.83511647036731,4.163769334183
37,2,1315000,2.5,3067,1,0,147,4019,5.25413233910586,144.994,-37.808,3.83500846381718,8.42770525889946
38,1,480000,2.5,3067,1,1,0,4019,5.11699853928264,144.9965,-37.80822,3.83506012288161,2.68958930751117
39,1,423500,2.5,3067,1,1,104.5,4019,5.02033913696606,144.99678,-37.808105,3.83509253276268,8.13248502503973
40,1,426000,2.5,3067,1,1,0,4019,5.54125266574439,144.9988,-37.8016,3.83578472868873,2.81880276271741
41,3,1447500,2.5,3067,3,1,166,4019,5.46741284589508,145.0001,-37.8017,3.83580897155419,5.22635495209635
42,1,457000,2.5,3067,1,1,0,4019,5.1229614389988,144.9965,-37.8078,3.83509487460259,9.11803859990815
43,2,1135000,2.5,3067,2,2,98,4019,5.82574897547925,144.9952,-37.8005,3.83580111374188,5.12172555729094
44,2,700000,2.5,3067,2,1,321.8,4019,4.34916892934354,145.005892,-37.81089,3.83504526712476,6.76442862971235
45,4,1542000,2.5,3067,3,1,0,4019,5.85745509151337,144.9965,-37.7994,3.83594713143595,5.25169023759926
46,3,962000,2.5,3067,2,1,554.9,4019,6.03930258649476,144.9969,-37.7972,3.83618098695141,2.74889296418448
47,3,1290000,2.5,3067,2,2,147,4019,5.48479916023104,144.9943,-37.805,3.83532072477186,3.96611315052313
48,3,1290000,2.5,3067,1,1,168,4019,5.77643040915291,144.9958,-37.8007,3.83579669159566,6.63844888177849
49,1,470000,2.5,3067,1,1,0,4019,5.34029950900072,144.9961,-37.8055,3.8353176125167,4.02755032789911
50,2,1180000,2.5,3067,1,0,162,4019,5.70700261591779,144.9956,-37.8016,3.83570007618725,4.20497362199655
51,3,1195000,2.5,3067,2,1,120,4019,5.66484452013146,144.9954,-37.8022,3.83563390490501,8.37037938016761
52,2,1012500,2.5,3067,1,0,182,4019,5.55737431125299,144.9976,-37.8021,3.83570224934594,3.87305124969574
53,2,970000,2.5,3067,1,0,150.2,4019,5.26642237894349,144.99367,-37.80801,3.83501627392219,3.87453357527667
54,2,1030000,2.5,3067,1,1,172,4019,5.16940859620275,144.9946,-37.8086,3.83496347391863,3.87453357527667
55,3,927000,2.5,3067,2,1,116.7,4019,5.13231269646126,144.995818,-37.808135,3.83508476885318,3.10624898212771
56,3,840000,13.5,3042,2,1,303,3464,19.5421262482822,144.878,-37.718,3.84108383265284,2.38874040896842
57,2,603000,13.5,3042,1,1,272,3464,18.0256947626168,144.888,-37.7294,3.84018828817845,3.91787448921696
58,3,700000,13.5,3042,2,2,239,3464,18.88870522738,144.8837,-37.7218,3.84084799770955,3.1247427055755
59,3,600000,13.5,3042,1,1,290,3464,19.0592319957513,144.8744,-37.7273,3.84004156141574,2.35681770291537
60,2,500000,13.5,3042,1,1,168,3464,18.7457517910301,144.8864,-37.7215,3.84095012128362,3.12610797496582
61,3,500000,13.5,3042,1,2,346.2,3464,9.44564922271443,144.971329,-37.779926,3.8382314756941,3.92029733029214
62,5,1035000,13.5,3042,2,2,466.1,3464,4.65948345054893,145.038889,-37.811705,3.83591246510639,6.99195403492652
63,4,960000,13.5,3042,2,2,645,3464,8.19378621009683,145.04639,-37.780102,3.84003559756925,2.31723730564163
64,4,960000,13.5,3042,2,2,645,3464,8.19378621009683,145.04639,-37.780102,3.84003559756925,2.39103292715105
65,3,720000,13.5,3042,1,1,620,3464,19.0347130557181,144.8872,-37.7173,3.84139903969796,2.34409979965623
66,4,785000,13.5,3042,1,2,597,3464,18.8544324751376,144.8792,-37.7259,3.84031129807374,3.10915615841551
67,2,450000,13.5,3042,1,1,110,3464,19.7081170565035,144.871,-37.7216,3.84053168476417,3.1150638184048
68,2,515000,13.5,3042,1,1,141,3464,17.9757850237775,144.8883,-37.7298,3.84015552693097,3.17906688803469
69,3,680000,13.5,3042,1,2,448.3,3464,7.9407729140132,144.99817,-37.777183,3.83819933962433,2.32462711130855
70,2,530000,13.5,3042,1,1,120,3464,19.0462285414209,144.8792,-37.7234,3.8405658026583,5.42250873786612
71,3,895000,13.5,3042,1,6,1063,3464,19.3429499391113,144.8728,-37.7249,3.84024344663604,3.96240564830936
72,3,600000,13.5,3042,1,2,323.3,3464,8.64229756531227,145.001632,-37.774073,3.83869025492192,3.09428821005528
73,3,805000,13.5,3042,1,1,0,3464,19.2345859374817,144.8783,-37.7217,3.84071502609904,2.35757842444076
74,3,760000,13.5,3042,2,1,258.2,3464,4.77071056901009,145.011838,-37.805859,3.83560947698583,3.90295132155188
75,3,752000,13.5,3042,1,1,265,3464,18.1230312661523,144.8855,-37.7302,3.84004060407843,2.32227559990084
76,3,580000,13.5,3042,1,1,354.9,3464,9.9442083828945,144.99218,-37.767543,3.84017428973189,3.87598986320814
77,3,725000,13.5,3042,1,2,578.7,3464,4.98298520253824,145.03537,-37.809103,3.83549451927986,3.13938570268206
78,4,758000,13.5,3042,2,2,504.7,3464,6.49222749929358,144.997855,-37.801285,3.83545463220542,5.42055261853004
79,2,440000,13.5,3042,1,1,192,3464,19.5222360044441,144.8787,-37.7177,3.84113294288888,4.6672162898217
80,3,970000,13.5,3042,2,2,462.7,3464,6.98239976685073,145.03579,-37.809242,3.83623341019429,3.86958858720962
81,5,755000,13.5,3042,2,2,596,3464,19.5395875991316,144.8699,-37.7248,3.8401767537535,3.12024625190997
82,4,985000,13.5,3042,2,2,649.4,3464,8.58844380179329,145.03921,-37.776986,3.83975866908525,3.90962604616766
83,3,700000,13.5,3042,2,2,165,3464,18.2750973601732,144.887,-37.727,3.84040607522464,3.88186314709766
84,2,509500,13.5,3042,1,1,617.9,3464,5.00276903435829,145.055641,-37.811933,3.83669475981154,3.10153866767392
85,3,830000,13.5,3042,1,2,971,3464,19.620244051793,144.876,-37.7186,3.84096970725319,3.11351570555596
86,2,462500,13.5,3042,1,1,164,3464,18.7280316153639,144.8863,-37.7218,3.84091692337057,2.33511128413132
87,3,670000,13.5,3042,2,2,657,3464,19.1021312391607,144.8742,-37.7269,3.84007697425444,3.89194373751768
88,2,675000,13.5,3042,1,1,612,3464,19.581066172156,144.8765,-37.7187,3.84097278007991,3.10536412644947
89,3,1042000,13.5,3042,2,5,612,3464,19.4981341361111,144.8796,-37.7173,3.84119754065111,5.42735055570576
90,3,910000,13.5,3042,1,1,775,3464,18.7989943360853,144.8835,-37.7231,3.84071033398634,3.10684707276897
91,4,773000,13.5,3042,3,4,531,3464,19.560558331158,144.8679,-37.7263,3.83997105467539,3.91820062711625
92,3,715000,13.5,3042,1,2,493.2,3464,6.76144905275945,145.039,-37.806168,3.83648502954993,4.67387985318767
93,3,810000,13.5,3042,3,2,555,3464,19.3002474318542,144.8694,-37.7285,3.83978689849848,3.55304523191908
