,Unnamed: 0,Rooms,Price,Distance,Postcode,Bathroom,Car,Landsize,Propertycount,Distancia_NEW,Longtitude,Lattitude,Location_TRA,BathsAndRooms,precio_div,is_train
1,1,2,1035000,2.5,3067.0,1,0,156.0,4019.0,5.29842457362017,144.9934,-37.8079,3.83500273752311,4.142806653562293,1,True
3,3,3,1465000,2.5,3067.0,2,0,134.0,4019.0,9.82745803362199,144.9634,-37.7745,3.8375994387748302,5.038081863669151,1,True
4,4,3,1465000,2.5,3067.0,2,0,134.0,4019.0,5.08592634598159,145.0916,-37.8509,3.8332404249304495,7.078442642721603,1,True
8,8,3,850000,2.5,3067.0,2,1,94.0,4019.0,6.0670937822668805,144.9969,-37.7969,3.8362114353293504,6.3858533782261135,0,False
9,9,4,1600000,2.5,3067.0,1,2,120.0,4019.0,5.313382904089241,144.9941,-37.8072,3.83509225755941,6.893023313163402,1,True
10,10,2,941000,2.5,3067.0,1,0,181.0,4019.0,5.505113283325981,144.9953,-37.8041,3.83543848418558,4.049860476939348,1,True
11,11,3,1876000,2.5,3067.0,2,0,245.0,4019.0,5.4432425943222,144.9993,-37.8024,3.8357167798869902,6.794792071068126,1,False
12,12,2,1636000,2.5,3067.0,1,2,256.0,4019.0,5.33748718718516,144.9954,-37.806,3.83524837327408,4.124636361511457,1,False
14,14,2,745000,2.5,3067.0,2,1,629.1,4019.0,4.99383164422402,144.99711000000005,-37.808225,3.83504860547936,5.727098895351027,0,True
16,16,2,1097000,2.5,3067.0,1,2,220.0,4019.0,5.59105013682418,144.9989,-37.801,3.835848257982589,4.0134134337713965,1,False
18,18,2,760000,2.5,3067.0,1,1,783.9,4019.0,5.04768330045803,144.99708,-37.808165,3.8350734705320697,4.2668663255103985,0,True
19,19,1,481000,2.5,3067.0,1,1,0.0,4019.0,5.11699853928264,144.9965,-37.808392,3.8350451176937206,2.820813626665964,0,True
20,20,2,700000,2.5,3067.0,2,1,0.0,4019.0,4.28757815788282,145.0067,-37.811,3.8350400677051697,6.326991080003581,0,False
22,22,2,750000,2.5,3067.0,2,1,0.0,4019.0,5.1229614389988,144.9965,-37.8078,3.8350948746025897,5.637605525434827,0,True
23,23,1,500000,2.5,3067.0,1,1,0.0,4019.0,5.125397070354111,144.99631000000005,-37.80786,3.83509902244496,2.817982893450276,0,True
24,24,2,1172500,2.5,3067.0,1,1,195.0,4019.0,5.0264705607744,144.9973,-37.8084,3.83505517292454,4.277994685215767,1,False
27,27,3,1200000,2.5,3067.0,2,1,113.0,4019.0,5.51008016862618,144.993,-37.8056,3.8352254692426495,6.746200615250666,1,True
29,29,3,1176500,2.5,3067.0,1,1,138.0,4019.0,5.614966581686961,144.9965,-37.8021,3.83567315043344,5.337979682827349,1,True
